date,Close Price,Change From Prev Day
4/18/2017,1217.6,13.87
4/19/2017,1226.94,9.34
4/20/2017,1255.4,28.46
4/21/2017,1257.13,1.73
4/22/2017,1244.37,-12.76
4/23/2017,1248.22,3.85
4/24/2017,1248.32,0.1
4/25/2017,1263.54,15.22
4/26/2017,1284.84,21.3
4/27/2017,1329.19,44.35
4/28/2017,1320.05,-9.14
4/29/2017,1327.04,6.99
4/30/2017,1347.96,20.92
5/1/2017,1402.08,54.12
5/2/2017,1443.68,41.6
5/3/2017,1492,48.32
5/4/2017,1515.63,23.63
5/5/2017,1512.21,-3.42
5/6/2017,1548.29,36.08
5/7/2017,1555.47,7.18
5/8/2017,1639.32,83.85
5/9/2017,1706.93,67.61
5/10/2017,1756.8,49.87
5/11/2017,1807.37,50.57
5/12/2017,1676.99,-130.38
5/13/2017,1759.96,82.97
5/14/2017,1772.42,12.46
5/15/2017,1697.38,-75.04
5/16/2017,1718.2,20.82
5/17/2017,1802.16,83.96
5/18/2017,1887.33,85.17
5/19/2017,1968.1,80.77
5/20/2017,2051.73,83.63
5/21/2017,2055.62,3.89
5/22/2017,2139.03,83.41
5/23/2017,2291.48,152.45
5/24/2017,2476.3,184.82
5/25/2017,2357.5,-118.8
5/26/2017,2247.48,-110.02
5/27/2017,2106.31,-141.17
5/28/2017,2207.58,101.27
5/29/2017,2289.87,82.29
5/30/2017,2197.23,-92.64
5/31/2017,2330.23,133
6/1/2017,2452.18,121.95
6/2/2017,2517.41,65.23
6/3/2017,2555.65,38.24
6/4/2017,2552.81,-2.84
6/5/2017,2736.59,183.78
6/6/2017,2914.08,177.49
6/7/2017,2694.22,-219.86
6/8/2017,2825.03,130.81
6/9/2017,2826.7,1.67
6/10/2017,2942.34,115.64
6/11/2017,3018.54,76.2
6/12/2017,2682.59,-335.95
6/13/2017,2738.93,56.34
6/14/2017,2494.48,-244.45
6/15/2017,2456.92,-37.56
6/16/2017,2528.1,71.18
6/17/2017,2664,135.9
6/18/2017,2576.17,-87.83
6/19/2017,2641.66,65.49
6/20/2017,2778.83,137.17
6/21/2017,2712.16,-66.67
6/22/2017,2740.79,28.63
6/23/2017,2738.22,-2.57
6/24/2017,2619.12,-119.1
6/25/2017,2594.45,-24.67
6/26/2017,2485.36,-109.09
6/27/2017,2593.17,107.81
6/28/2017,2584.56,-8.61
6/29/2017,2561.56,-23
6/30/2017,2499.98,-61.58
7/1/2017,2460.2,-39.78
7/2/2017,2529.78,69.58
7/3/2017,2581.07,51.29
7/4/2017,2625.07,44
7/5/2017,2629.27,4.2
7/6/2017,2619.11,-10.16
7/7/2017,2521.24,-97.87
7/8/2017,2579.93,58.69
7/9/2017,2525.67,-54.26
7/10/2017,2371.96,-153.71
7/11/2017,2332.19,-39.77
7/12/2017,2423.16,90.97
7/13/2017,2364.52,-58.64
7/14/2017,2232.65,-131.87
7/15/2017,1993.26,-239.39
7/16/2017,1938.94,-54.32
7/17/2017,2244.26,305.32
7/18/2017,2327.9,83.64
7/19/2017,2294.4,-33.5
7/20/2017,2877.39,582.99
7/21/2017,2694.29,-183.1
7/22/2017,2838.81,144.52
7/23/2017,2762.63,-76.18
7/24/2017,2779.04,16.41
7/25/2017,2591.22,-187.82
7/26/2017,2550.18,-41.04
7/27/2017,2697.47,147.29
7/28/2017,2805.18,107.71
7/29/2017,2720.08,-85.1
7/30/2017,2746.33,26.25
7/31/2017,2873.83,127.5
8/1/2017,2735.59,-138.24
8/2/2017,2723.58,-12.01
8/3/2017,2814.36,90.78
8/4/2017,2883.68,69.32
8/5/2017,3301.76,418.08
8/6/2017,3255,-46.76
8/7/2017,3431.97,176.97
8/8/2017,3453.16,21.19
8/9/2017,3377.54,-75.62
8/10/2017,3445.28,67.74
8/11/2017,3679.61,234.33
8/12/2017,3917.65,238.04
8/13/2017,4111.2,193.55
8/14/2017,4382.74,271.54
8/15/2017,4204.43,-178.31
8/16/2017,4425.3,220.87
8/17/2017,4316.34,-108.96
8/18/2017,4159.46,-156.88
8/19/2017,4206.13,46.67
8/20/2017,4111.22,-94.91
8/21/2017,4054.94,-56.28
8/22/2017,4137.67,82.73
8/23/2017,4191.22,53.55
